 time            v(inp)          v(inn)          v(out)         
 1.52512800e-02  9.99967659e-04 -9.99967659e-04  8.25842330e-01 
 1.52522800e-02  9.99897389e-04 -9.99897389e-04  8.25838004e-01 
 1.52532800e-02  9.99787645e-04 -9.99787645e-04  8.25828597e-01 
 1.52542800e-02  9.99638431e-04 -9.99638431e-04  8.25818229e-01 
 1.52552800e-02  9.99449753e-04 -9.99449753e-04  8.25802784e-01 
 1.52562800e-02  9.99221618e-04 -9.99221618e-04  8.25786370e-01 
 1.52572800e-02  9.98954036e-04 -9.98954036e-04  8.25764879e-01 
 1.52582800e-02  9.98647017e-04 -9.98647017e-04  8.25742410e-01 
 1.52592800e-02  9.98300572e-04 -9.98300572e-04  8.25714864e-01 
 1.52602800e-02  9.97914717e-04 -9.97914717e-04  8.25686328e-01 
 1.52612800e-02  9.97489466e-04 -9.97489466e-04  8.25652713e-01 
 1.52622800e-02  9.97024835e-04 -9.97024835e-04  8.25618096e-01 
 1.52632800e-02  9.96520844e-04 -9.96520844e-04  8.25578395e-01 
 1.52642800e-02  9.95977512e-04 -9.95977512e-04  8.25537679e-01 
 1.52652800e-02  9.95394860e-04 -9.95394860e-04  8.25491872e-01 
 1.52662800e-02  9.94772912e-04 -9.94772912e-04  8.25445037e-01 
 1.52672800e-02  9.94111692e-04 -9.94111692e-04  8.25393101e-01 
 1.52682800e-02  9.93411226e-04 -9.93411226e-04  8.25340122e-01 
 1.52692800e-02  9.92671541e-04 -9.92671541e-04  8.25282033e-01 
 1.52702800e-02  9.91892668e-04 -9.91892668e-04  8.25222883e-01 
 1.52712800e-02  9.91074637e-04 -9.91074637e-04  8.25158610e-01 
 1.52722800e-02  9.90217480e-04 -9.90217480e-04  8.25093258e-01 
 1.52732800e-02  9.89321230e-04 -9.89321230e-04  8.25022769e-01 
 1.52742800e-02  9.88385924e-04 -9.88385924e-04  8.24951182e-01 
 1.52752800e-02  9.87411598e-04 -9.87411598e-04  8.24874441e-01 
 1.52762800e-02  9.86398291e-04 -9.86398291e-04  8.24796582e-01 
 1.52772800e-02  9.85346043e-04 -9.85346043e-04  8.24713549e-01 
 1.52782800e-02  9.84254894e-04 -9.84254894e-04  8.24629377e-01 
 1.52792800e-02  9.83124889e-04 -9.83124889e-04  8.24540010e-01 
 1.52802800e-02  9.81956072e-04 -9.81956072e-04  8.24449480e-01 
 1.52812800e-02  9.80748489e-04 -9.80748489e-04  8.24353733e-01 
 1.52822800e-02  9.79502188e-04 -9.79502188e-04  8.24256797e-01 
 1.52832800e-02  9.78217218e-04 -9.78217218e-04  8.24154618e-01 
 1.52842800e-02  9.76893629e-04 -9.76893629e-04  8.24051225e-01 
 1.52852800e-02  9.75531474e-04 -9.75531474e-04  8.23942562e-01 
 1.52862800e-02  9.74130807e-04 -9.74130807e-04  8.23832655e-01 
 1.52872800e-02  9.72691683e-04 -9.72691683e-04  8.23717449e-01 
 1.52882800e-02  9.71214159e-04 -9.71214159e-04  8.23600970e-01 
 1.52892800e-02  9.69698293e-04 -9.69698293e-04  8.23479159e-01 
 1.52902800e-02  9.68144144e-04 -9.68144144e-04  8.23356043e-01 
 1.52912800e-02  9.66551775e-04 -9.66551775e-04  8.23227561e-01 
 1.52922800e-02  9.64921249e-04 -9.64921249e-04  8.23097741e-01 
 1.52932800e-02  9.63252629e-04 -9.63252629e-04  8.22962517e-01 
 1.52942800e-02  9.61545981e-04 -9.61545981e-04  8.22825919e-01 
 1.52952800e-02  9.59801373e-04 -9.59801373e-04  8.22683878e-01 
 1.52962800e-02  9.58018874e-04 -9.58018874e-04  8.22540426e-01 
 1.52972800e-02  9.56198554e-04 -9.56198554e-04  8.22391488e-01 
 1.52982800e-02  9.54340484e-04 -9.54340484e-04  8.22241100e-01 
 1.52992800e-02  9.52444740e-04 -9.52444740e-04  8.22085180e-01 
 1.53002800e-02  9.50511394e-04 -9.50511394e-04  8.21927769e-01 
 1.53012800e-02  9.48540523e-04 -9.48540523e-04  8.21764777e-01 
 1.53022800e-02  9.46532206e-04 -9.46532206e-04  8.21600251e-01 
 1.53032800e-02  9.44486521e-04 -9.44486521e-04  8.21430092e-01 
 1.53042800e-02  9.42403550e-04 -9.42403550e-04  8.21258352e-01 
 1.53052800e-02  9.40283374e-04 -9.40283374e-04  8.21080926e-01 
 1.53062800e-02  9.38126078e-04 -9.38126078e-04  8.20901870e-01 
 1.53072800e-02  9.35931746e-04 -9.35931746e-04  8.20717069e-01 
 1.53082800e-02  9.33700464e-04 -9.33700464e-04  8.20530587e-01 
 1.53092800e-02  9.31432322e-04 -9.31432322e-04  8.20338299e-01 
 1.53102800e-02  9.29127409e-04 -9.29127409e-04  8.20144275e-01 
 1.53112800e-02  9.26785815e-04 -9.26785815e-04  8.19944381e-01 
 1.53122800e-02  9.24407633e-04 -9.24407633e-04  8.19742693e-01 
 1.53132800e-02  9.21992958e-04 -9.21992958e-04  8.19535067e-01 
 1.53142800e-02  9.19541883e-04 -9.19541883e-04  8.19325586e-01 
 1.53152800e-02  9.17054507e-04 -9.17054507e-04  8.19110093e-01 
 1.53162800e-02  9.14530927e-04 -9.14530927e-04  8.18892682e-01 
 1.53172800e-02  9.11971242e-04 -9.11971242e-04  8.18669183e-01 
 1.53182800e-02  9.09375555e-04 -9.09375555e-04  8.18443698e-01 
 1.53192800e-02  9.06743967e-04 -9.06743967e-04  8.18212043e-01 
 1.53202800e-02  9.04076583e-04 -9.04076583e-04  8.17978331e-01 
 1.53212800e-02  9.01373507e-04 -9.01373507e-04  8.17738363e-01 
 1.53222800e-02  8.98634846e-04 -8.98634846e-04  8.17496264e-01 
 1.53232800e-02  8.95860709e-04 -8.95860709e-04  8.17247816e-01 
 1.53242800e-02  8.93051204e-04 -8.93051204e-04  8.16997158e-01 
 1.53252800e-02  8.90206444e-04 -8.90206444e-04  8.16740056e-01 
 1.53262800e-02  8.87326540e-04 -8.87326540e-04  8.16480658e-01 
 1.53272800e-02  8.84411605e-04 -8.84411605e-04  8.16214714e-01 
 1.53282800e-02  8.81461756e-04 -8.81461756e-04  8.15946387e-01 
 1.53292800e-02  8.78477108e-04 -8.78477108e-04  8.15671405e-01 
 1.53302800e-02  8.75457779e-04 -8.75457779e-04  8.15393945e-01 
 1.53312800e-02  8.72403889e-04 -8.72403889e-04  8.15109718e-01 
 1.53322800e-02  8.69315557e-04 -8.69315557e-04  8.14822911e-01 
 1.53332800e-02  8.66192907e-04 -8.66192907e-04  8.14529216e-01 
 1.53342800e-02  8.63036060e-04 -8.63036060e-04  8.14232837e-01 
 1.53352800e-02  8.59845143e-04 -8.59845143e-04  8.13929440e-01 
 1.53362800e-02  8.56620280e-04 -8.56620280e-04  8.13623247e-01 
 1.53372800e-02  8.53361600e-04 -8.53361600e-04  8.13309901e-01 
 1.53382800e-02  8.50069230e-04 -8.50069230e-04  8.12993639e-01 
 1.53392800e-02  8.46743301e-04 -8.46743301e-04  8.12670080e-01 
 1.53402800e-02  8.43383944e-04 -8.43383944e-04  8.12343477e-01 
 1.53412800e-02  8.39991291e-04 -8.39991291e-04  8.12009425e-01 
 1.53422800e-02  8.36565477e-04 -8.36565477e-04  8.11672194e-01 
 1.53432800e-02  8.33106637e-04 -8.33106637e-04  8.11327350e-01 
 1.53442800e-02  8.29614908e-04 -8.29614908e-04  8.10979184e-01 
 1.53452800e-02  8.26090426e-04 -8.26090426e-04  8.10623232e-01 
 1.53462800e-02  8.22533332e-04 -8.22533332e-04  8.10263803e-01 
 1.53472800e-02  8.18943766e-04 -8.18943766e-04  8.09896405e-01 
 1.53482800e-02  8.15321869e-04 -8.15321869e-04  8.09525366e-01 
 1.53492800e-02  8.11667785e-04 -8.11667785e-04  8.09146161e-01 
 1.53502800e-02  8.07981657e-04 -8.07981657e-04  8.08763139e-01 
 1.53512800e-02  8.04263632e-04 -8.04263632e-04  8.08371742e-01 
 1.53522800e-02  8.00513856e-04 -8.00513856e-04  8.07976339e-01 
 1.53532800e-02  7.96732476e-04 -7.96732476e-04  8.07572337e-01 
 1.53542800e-02  7.92919644e-04 -7.92919644e-04  8.07164128e-01 
 1.53552800e-02  7.89075508e-04 -7.89075508e-04  8.06747080e-01 
