 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -8.97525197e+01  5.95462808e+03 -5.91104982e+02 -2.35790043e+02  1.33923465e+03  5.29732311e+02  9.67332989e+02  9.13338619e+02 -3.64902564e+03 -3.39224413e+03  5.02913831e+01 -3.33185340e+03 -8.99201045e+01  5.96415395e+03 
 5.88843655e+06  9.49406864e+03  3.11961240e+03 -6.82061811e+02 -4.60069051e+01  1.54190982e+03  1.02899541e+02  1.51984725e+03  2.05396718e+02 -5.64861391e+03 -7.46967844e+02 -5.31209439e+03 -1.74621764e+03  9.50918322e+03  3.12482846e+03 
 6.02559586e+06  9.52522563e+03  3.05447961e+03 -6.82202116e+02 -4.49595201e+01  1.54222176e+03  1.00545503e+02  1.52078152e+03  2.00768633e+02 -5.65186381e+03 -7.30079146e+02 -5.32952755e+03 -1.70979104e+03  9.54038990e+03  3.05959749e+03 
 6.16595002e+06  9.55507976e+03  2.99042690e+03 -6.82336159e+02 -4.39351403e+01  1.54251977e+03  9.82429397e+01  1.52167435e+03  1.96239632e+02 -5.65496880e+03 -7.13554506e+02 -5.34623174e+03 -1.67396916e+03  9.57029166e+03  2.99544843e+03 
 6.30957344e+06  9.58368133e+03  2.92745400e+03 -6.82464219e+02 -4.29332776e+01  1.54280449e+03  9.59907507e+01  1.52252752e+03  1.91807801e+02 -5.65793528e+03 -6.97386698e+02 -5.36223508e+03 -1.63875186e+03  9.59893885e+03  2.93238105e+03 
 6.45654229e+06  9.61107904e+03  2.86555923e+03 -6.82586560e+02 -4.19534524e+01  1.54307648e+03  9.37878557e+01  1.52334280e+03  1.87471243e+02 -5.66076939e+03 -6.81568583e+02 -5.37756483e+03 -1.60413820e+03  9.62638027e+03  2.87039365e+03 
 6.60693448e+06  9.63732003e+03  2.80473957e+03 -6.82703435e+02 -4.09951932e+01  1.54333632e+03  9.16331928e+01  1.52412183e+03  1.83228082e+02 -5.66347696e+03 -6.66093111e+02 -5.39224738e+03 -1.57012651e+03  9.65266313e+03  2.80948320e+03 
 6.76082975e+06  9.66244993e+03  2.74499076e+03 -6.82815087e+02 -4.00580369e+01  1.54358455e+03  8.95257188e+01  1.52486621e+03  1.79076466e+02 -5.66606362e+03 -6.50953326e+02 -5.40630824e+03 -1.53671442e+03  9.67783311e+03  2.74964547e+03 
 6.91830971e+06  9.68651281e+03  2.68630744e+03 -6.82921748e+02 -3.91415286e+01  1.54382168e+03  8.74644088e+01  1.52557746e+03  1.75014564e+02 -5.66853471e+03 -6.36142366e+02 -5.41977207e+03 -1.50389893e+03  9.70193438e+03  2.69087507e+03 
 7.07945784e+06  9.70955127e+03  2.62868318e+03 -6.83023639e+02 -3.82452216e+01  1.54404820e+03  8.54482564e+01  1.52625704e+03  1.71040568e+02 -5.67089536e+03 -6.21653466e+02 -5.43266271e+03 -1.47167646e+03  9.72500959e+03  2.63316558e+03 
 7.24435960e+06  9.73160643e+03  2.57211063e+03 -6.83120973e+02 -3.73686773e+01  1.54426459e+03  8.34762732e+01  1.52690635e+03  1.67152693e+02 -5.67315046e+03 -6.07479959e+02 -5.44500319e+03 -1.44004290e+03  9.74709995e+03  2.57650962e+03 
