 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 3.23593657e+06  2.49923969e+03  2.34566675e+03 -4.60697212e+02 -8.77563095e+01  5.16523535e+02  9.79703828e+01  4.58519451e+02  2.14182087e+02 -2.23290512e+03 -1.04058641e+03 -1.69933045e+03 -1.59530198e+03  2.49994422e+03  2.34645467e+03 
 3.31131121e+06  2.54835336e+03  2.31439819e+03 -4.61417883e+02 -8.58924537e+01  5.17324218e+02  9.58869528e+01  4.61547701e+02  2.10206371e+02 -2.24758596e+03 -1.02124379e+03 -1.73272670e+03 -1.57404786e+03  2.54907237e+03  2.31517942e+03 
 3.38844156e+06  2.59594912e+03  2.28261708e+03 -4.62108245e+02 -8.40624476e+01  5.18091191e+02  9.38414578e+01  4.64460390e+02  2.06266422e+02 -2.26170584e+03 -1.00207675e+03 -1.76509081e+03 -1.55244538e+03  2.59668216e+03  2.28339153e+03 
 3.46736850e+06  2.64204482e+03  2.25039243e+03 -4.62769485e+02 -8.22660517e+01  5.18825775e+02  9.18336209e+01  4.67261066e+02  2.02364526e+02 -2.27528204e+03 -9.83096316e+02 -1.79643492e+03 -1.53054145e+03  2.64279145e+03  2.25116002e+03 
 3.54813389e+06  2.68666078e+03  2.21779001e+03 -4.63402749e+02 -8.05030008e+01  5.19529249e+02  8.98631372e+01  4.69953242e+02  1.98502760e+02 -2.28833166e+03 -9.64312493e+02 -1.82677284e+03 -1.50838082e+03  2.68742057e+03  2.21855068e+03 
 3.63078055e+06  2.72981951e+03  2.18487237e+03 -4.64009146e+02 -7.87730059e+01  5.20202848e+02  8.79296755e+01  4.72540390e+02  1.94683009e+02 -2.30087162e+03 -9.45734350e+02 -1.85611987e+03 -1.48600601e+03  2.73059202e+03  2.18562608e+03 
 3.71535229e+06  2.77154545e+03  2.15169888e+03 -4.64589748e+02 -7.70757567e+01  5.20847766e+02  8.60328815e+01  4.75025931e+02  1.90906972e+02 -2.31291856e+03 -9.27370060e+02 -1.88449264e+03 -1.46345741e+03  2.77233026e+03  2.15244562e+03 
 3.80189396e+06  2.81186470e+03  2.11832576e+03 -4.65145589e+02 -7.54109235e+01  5.21465156e+02  8.41723792e+01  4.77413238e+02  1.87176172e+02 -2.32448888e+03 -9.09226939e+02 -1.91190890e+03 -1.44077324e+03  2.81266141e+03  2.11906551e+03 
 3.89045145e+06  2.85080486e+03  2.08480610e+03 -4.65677667e+02 -7.37781589e+01  5.22056129e+02  8.23477736e+01  4.79705621e+02  1.83491965e+02 -2.33559869e+03 -8.91311501e+02 -1.93838741e+03 -1.41798961e+03  2.85161306e+03  2.08553890e+03 
 3.98107171e+06  2.88839474e+03  2.05118998e+03 -4.66186945e+02 -7.21771000e+01  5.22621758e+02  8.05586525e+01  4.81906331e+02  1.79855551e+02 -2.34626379e+03 -8.73629496e+02 -1.96394775e+03 -1.39514058e+03  2.88921402e+03  2.05191585e+03 
 4.07380278e+06  2.92466418e+03  2.01752448e+03 -4.66674353e+02 -7.06073697e+01  5.23163077e+02  7.88045883e+01  4.84018550e+02  1.76267979e+02 -2.35649966e+03 -8.56185955e+02 -1.98861023e+03 -1.37225816e+03  2.92549417e+03  2.01824346e+03 
 4.16869383e+06  2.95964391e+03  1.98385378e+03 -4.67140784e+02 -6.90685783e+01  5.23681082e+02  7.70851398e+01  4.86045393e+02  1.72730161e+02 -2.36632144e+03 -8.38985232e+02 -2.01239573e+03 -1.34937242e+03  2.96048421e+03  1.98456595e+03 
 4.26579519e+06  2.99336531e+03  1.95021926e+03 -4.67587102e+02 -6.75603253e+01  5.24176734e+02  7.53998540e+01  4.87989904e+02  1.69242876e+02 -2.37574392e+03 -8.22031045e+02 -2.03532560e+03 -1.32651147e+03  2.99421556e+03  1.95092469e+03 
 4.36515832e+06  3.02586029e+03  1.91665958e+03 -4.68014136e+02 -6.60822006e+01  5.24650956e+02  7.37482673e+01  4.89855054e+02  1.65806778e+02 -2.38478154e+03 -8.05326512e+02 -2.05742153e+03 -1.30370162e+03  3.02672014e+03  1.91735836e+03 
 4.46683592e+06  3.05716115e+03  1.88321074e+03 -4.68422686e+02 -6.46337858e+01  5.25104637e+02  7.21299072e+01  4.91643737e+02  1.62422407e+02 -2.39344835e+03 -7.88874192e+02 -2.07870548e+03 -1.28096736e+03  3.05803023e+03  1.88390297e+03 
 4.57088190e+06  3.08730040e+03  1.84990622e+03 -4.68813521e+02 -6.32146552e+01  5.25538634e+02  7.05442936e+01  4.93358773e+02  1.59090194e+02 -2.40175807e+03 -7.72676119e+02 -2.09919956e+03 -1.25833146e+03  3.08817838e+03  1.85059202e+03 
 4.67735141e+06  3.11631069e+03  1.81677708e+03 -4.69187379e+02 -6.18243775e+01  5.25953768e+02  6.89909402e+01  4.95002905e+02  1.55810469e+02 -2.40972400e+03 -7.56733839e+02 -2.11892598e+03 -1.23581504e+03  3.11719723e+03  1.81745657e+03 
 4.78630092e+06  3.14422468e+03  1.78385201e+03 -4.69544974e+02 -6.04625163e+01  5.26350833e+02  6.74693552e+01  4.96578800e+02  1.52583466e+02 -2.41735909e+03 -7.41048439e+02 -2.13790693e+03 -1.21343761e+03  3.14511946e+03  1.78452532e+03 
 4.89778819e+06  3.17107491e+03  1.75115747e+03 -4.69886988e+02 -5.91286314e+01  5.26730587e+02  6.59790428e+01  4.98089045e+02  1.49409332e+02 -2.42467592e+03 -7.25620581e+02 -2.15616455e+03 -1.19121718e+03  3.17197761e+03  1.75182476e+03 
 5.01187234e+06  3.19689376e+03  1.71871781e+03 -4.70214078e+02 -5.78222796e+01  5.27093763e+02  6.45195042e+01  4.99536153e+02  1.46288134e+02 -2.43168668e+03 -7.10450535e+02 -2.17372086e+03 -1.16917030e+03  3.19780408e+03  1.71937921e+03 
 5.12861384e+06  3.22171333e+03  1.68655529e+03 -4.70526876e+02 -5.65430154e+01  5.27441061e+02  6.30902384e+01  5.00922558e+02  1.43219859e+02 -2.43840318e+03 -6.95538202e+02 -2.19059768e+03 -1.14731212e+03  3.22263098e+03  1.68721099e+03 
