 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 2.57039578e+06  5.85875150e+03  6.59567595e+03 -5.53387127e+02 -7.80763889e+01  1.50039285e+03  2.10667681e+02  1.43560508e+03  4.12852129e+02 -6.46703295e+03 -1.85285087e+03 -4.04104163e+03 -4.55020293e+03  5.85875126e+03  6.59567615e+03 
 2.63026799e+06  6.00653538e+03  6.51725492e+03 -5.53874261e+02 -7.63641110e+01  1.50170234e+03  2.06041531e+02  1.43944112e+03  4.04152833e+02 -6.48417193e+03 -1.81377306e+03 -4.14298085e+03 -4.49612554e+03  6.00653514e+03  6.51725513e+03 
 2.69153480e+06  6.15002784e+03  6.43675972e+03 -5.54340272e+02 -7.46863792e+01  1.50295504e+03  2.01508719e+02  1.44311503e+03  3.95605655e+02 -6.50058580e+03 -1.77538089e+03 -4.24195992e+03 -4.44061773e+03  6.15002760e+03  6.43675995e+03 
 2.75422870e+06  6.28925526e+03  6.35440789e+03 -5.54786042e+02 -7.30426867e+01  1.50415331e+03  1.97067865e+02  1.44663322e+03  3.87209993e+02 -6.51630325e+03 -1.73767149e+03 -4.33799705e+03 -4.38382956e+03  6.28925502e+03  6.35440813e+03 
 2.81838293e+06  6.42425303e+03  6.27040816e+03 -5.55212418e+02 -7.14325204e+01  1.50529943e+03  1.92717575e+02  1.45000189e+03  3.78965086e+02 -6.53135204e+03 -1.70064127e+03 -4.43111662e+03 -4.32590501e+03  6.42425278e+03  6.27040840e+03 
 2.88403150e+06  6.55506471e+03  6.18496031e+03 -5.55620216e+02 -6.98553628e+01  1.50639560e+03  1.88456442e+02  1.45322700e+03  3.70870026e+02 -6.54575896e+03 -1.66428598e+03 -4.52134871e+03 -4.26698192e+03  6.55506446e+03  6.18496057e+03 
 2.95120923e+06  6.68174125e+03  6.09825517e+03 -5.56010220e+02 -6.83106922e+01  1.50744392e+03  1.84283049e+02  1.45631434e+03  3.62923773e+02 -6.55954987e+03 -1.62860082e+03 -4.60872844e+03 -4.20719191e+03  6.68174100e+03  6.09825544e+03 
 3.01995172e+06  6.80434017e+03  6.01047457e+03 -5.56383183e+02 -6.67979845e+01  1.50844643e+03  1.80195973e+02  1.45926947e+03  3.55125165e+02 -6.57274974e+03 -1.59358041e+03 -4.69329549e+03 -4.14666041e+03  6.80433991e+03  6.01047485e+03 
 3.09029543e+06  6.92292485e+03  5.92179137e+03 -5.56739826e+02 -6.53167138e+01  1.50940506e+03  1.76193786e+02  1.46209777e+03  3.47472930e+02 -6.58538262e+03 -1.55921891e+03 -4.77509359e+03 -4.08550669e+03  6.92292459e+03  5.92179166e+03 
 3.16227766e+06  7.03756382e+03  5.83236958e+03 -5.57080845e+02 -6.38663531e+01  1.51032168e+03  1.72275058e+02  1.46480442e+03  3.39965695e+02 -6.59747171e+03 -1.52551003e+03 -4.85417000e+03 -4.02384387e+03  7.03756356e+03  5.83236988e+03 
 3.23593657e+06  7.14833010e+03  5.74236444e+03 -5.57406906e+02 -6.24463755e+01  1.51119809e+03  1.68438360e+02  1.46739442e+03  3.32601997e+02 -6.60903937e+03 -1.49244707e+03 -4.93057508e+03 -3.96177906e+03  7.14832984e+03  5.74236475e+03 
 3.31131121e+06  7.25530060e+03  5.65192260e+03 -5.57718648e+02 -6.10562546e+01  1.51203600e+03  1.64682263e+02  1.46987256e+03  3.25380293e+02 -6.62010712e+03 -1.46002299e+03 -5.00436190e+03 -3.89941342e+03  7.25530034e+03  5.65192293e+03 
 3.38844156e+06  7.35855550e+03  5.56118229e+03 -5.58016686e+02 -5.96954654e+01  1.51283707e+03  1.61005343e+02  1.47224349e+03  3.18298966e+02 -6.63069567e+03 -1.42823042e+03 -5.07558575e+03 -3.83684230e+03  7.35855523e+03  5.56118262e+03 
 3.46736850e+06  7.45817773e+03  5.47027349e+03 -5.58301606e+02 -5.83634849e+01  1.51360287e+03  1.57406183e+02  1.47451164e+03  3.11356334e+02 -6.64082496e+03 -1.39706172e+03 -5.14430384e+03 -3.77415539e+03  7.45817746e+03  5.47027384e+03 
 3.54813389e+06  7.55425248e+03  5.37931821e+03 -5.58573975e+02 -5.70597924e+01  1.51433494e+03  1.53883371e+02  1.47668132e+03  3.04550659e+02 -6.65051418e+03 -1.36650898e+03 -5.21057493e+03 -3.71143685e+03  7.55425221e+03  5.37931857e+03 
 3.63078055e+06  7.64686671e+03  5.28843067e+03 -5.58834333e+02 -5.57838704e+01  1.51503471e+03  1.50435503e+02  1.47875663e+03  2.97880152e+02 -6.65978176e+03 -1.33656408e+03 -5.27445900e+03 -3.64876548e+03  7.64686644e+03  5.28843105e+03 
 3.71535229e+06  7.73610873e+03  5.19771759e+03 -5.59083200e+02 -5.45352050e+01  1.51570360e+03  1.47061188e+02  1.48074156e+03  2.91342981e+02 -6.66864543e+03 -1.30721871e+03 -5.33601697e+03 -3.58621490e+03  7.73610845e+03  5.19771798e+03 
 3.80189396e+06  7.82206781e+03  5.10727842e+03 -5.59321073e+02 -5.33132861e+01  1.51634293e+03  1.43759042e+02  1.48263989e+03  2.84937276e+02 -6.67712224e+03 -1.27846441e+03 -5.39531042e+03 -3.52385374e+03  7.82206753e+03  5.10727882e+03 
 3.89045145e+06  7.90483379e+03  5.01720564e+03 -5.59548429e+02 -5.21176079e+01  1.51695399e+03  1.40527695e+02  1.48445530e+03  2.78661135e+02 -6.68522856e+03 -1.25029254e+03 -5.45240132e+03 -3.46174579e+03  7.90483351e+03  5.01720606e+03 
 3.98107171e+06  7.98449682e+03  4.92758502e+03 -5.59765725e+02 -5.09476695e+01  1.51753801e+03  1.37365790e+02  1.48619130e+03  2.72512629e+02 -6.69298009e+03 -1.22269440e+03 -5.50735184e+03 -3.39995022e+03  7.98449653e+03  4.92758545e+03 
