 frequency       v(finalp,finaln) v(finalp,finaln)
 1.90546072e+08 -3.38113974e-02 -2.42404315e-01 
 1.94984460e+08 -3.58725741e-02 -2.47671285e-01 
 1.99526231e+08 -3.80219208e-02 -2.53026265e-01 
 2.04173794e+08 -4.02625583e-02 -2.58469317e-01 
 2.08929613e+08 -4.25976775e-02 -2.64000396e-01 
 2.13796209e+08 -4.50305373e-02 -2.69619344e-01 
 2.18776162e+08 -4.75644608e-02 -2.75325879e-01 
 2.23872114e+08 -5.02028320e-02 -2.81119589e-01 
 2.29086765e+08 -5.29490914e-02 -2.86999926e-01 
 2.34422882e+08 -5.58067308e-02 -2.92966198e-01 
 2.39883292e+08 -5.87792881e-02 -2.99017559e-01 
 2.45470892e+08 -6.18703411e-02 -3.05153007e-01 
 2.51188643e+08 -6.50835002e-02 -3.11371370e-01 
 2.57039578e+08 -6.84224013e-02 -3.17671306e-01 
 2.63026799e+08 -7.18906971e-02 -3.24051289e-01 
 2.69153480e+08 -7.54920478e-02 -3.30509606e-01 
 2.75422870e+08 -7.92301118e-02 -3.37044350e-01 
 2.81838293e+08 -8.31085341e-02 -3.43653415e-01 
 2.88403150e+08 -8.71309352e-02 -3.50334487e-01 
 2.95120923e+08 -9.13008987e-02 -3.57085040e-01 
 3.01995172e+08 -9.56219578e-02 -3.63902335e-01 
 3.09029543e+08 -1.00097581e-01 -3.70783412e-01 
 3.16227766e+08 -1.04731159e-01 -3.77725088e-01 
 3.23593657e+08 -1.09525984e-01 -3.84723954e-01 
 3.31131121e+08 -1.14485242e-01 -3.91776378e-01 
 3.38844156e+08 -1.19611985e-01 -3.98878501e-01 
 3.46736850e+08 -1.24909124e-01 -4.06026238e-01 
 3.54813389e+08 -1.30379401e-01 -4.13215284e-01 
 3.63078055e+08 -1.36025378e-01 -4.20441116e-01 
 3.71535229e+08 -1.41849413e-01 -4.27698997e-01 
 3.80189396e+08 -1.47853642e-01 -4.34983987e-01 
 3.89045145e+08 -1.54039960e-01 -4.42290948e-01 
 3.98107171e+08 -1.60410002e-01 -4.49614557e-01 
 4.07380278e+08 -1.66965120e-01 -4.56949321e-01 
 4.16869383e+08 -1.73706371e-01 -4.64289584e-01 
 4.26579519e+08 -1.80634489e-01 -4.71629551e-01 
 4.36515832e+08 -1.87749877e-01 -4.78963304e-01 
 4.46683592e+08 -1.95052583e-01 -4.86284822e-01 
 4.57088190e+08 -2.02542289e-01 -4.93588002e-01 
 4.67735141e+08 -2.10218291e-01 -5.00866687e-01 
 4.78630092e+08 -2.18079494e-01 -5.08114691e-01 
 4.89778819e+08 -2.26124393e-01 -5.15325826e-01 
 5.01187234e+08 -2.34351072e-01 -5.22493932e-01 
 5.12861384e+08 -2.42757189e-01 -5.29612909e-01 
 5.24807460e+08 -2.51339980e-01 -5.36676751e-01 
 5.37031796e+08 -2.60096250e-01 -5.43679577e-01 
 5.49540874e+08 -2.69022380e-01 -5.50615670e-01 
 5.62341325e+08 -2.78114329e-01 -5.57479507e-01 
 5.75439937e+08 -2.87367640e-01 -5.64265801e-01 
 5.88843655e+08 -2.96777453e-01 -5.70969532e-01 
 6.02559586e+08 -3.06338520e-01 -5.77585987e-01 
 6.16595002e+08 -3.16045217e-01 -5.84110794e-01 
 6.30957344e+08 -3.25891570e-01 -5.90539956e-01 
 6.45654229e+08 -3.35871277e-01 -5.96869884e-01 
 6.60693448e+08 -3.45977737e-01 -6.03097433e-01 
 6.76082975e+08 -3.56204076e-01 -6.09219926e-01 
 6.91830971e+08 -3.66543186e-01 -6.15235186e-01 
 7.07945784e+08 -3.76987757e-01 -6.21141563e-01 
 7.24435960e+08 -3.87530320e-01 -6.26937950e-01 
 7.41310241e+08 -3.98163284e-01 -6.32623811e-01 
 7.58577575e+08 -4.08878982e-01 -6.38199189e-01 
 7.76247117e+08 -4.19669715e-01 -6.43664727e-01 
 7.94328235e+08 -4.30527801e-01 -6.49021668e-01 
 8.12830516e+08 -4.41445616e-01 -6.54271869e-01 
 8.31763771e+08 -4.52415651e-01 -6.59417798e-01 
 8.51138038e+08 -4.63430552e-01 -6.64462529e-01 
 8.70963590e+08 -4.74483175e-01 -6.69409740e-01 
 8.91250938e+08 -4.85566628e-01 -6.74263702e-01 
 9.12010839e+08 -4.96674322e-01 -6.79029262e-01 
 9.33254301e+08 -5.07800017e-01 -6.83711827e-01 
 9.54992586e+08 -5.18937861e-01 -6.88317343e-01 
 9.77237221e+08 -5.30082440e-01 -6.92852268e-01 
 1.00000000e+09 -5.41228812e-01 -6.97323549e-01 
 1.02329299e+09 -5.52372547e-01 -7.01738586e-01 
 1.04712855e+09 -5.63509765e-01 -7.06105200e-01 
 1.07151931e+09 -5.74637163e-01 -7.10431602e-01 
 1.09647820e+09 -5.85752052e-01 -7.14726353e-01 
 1.12201845e+09 -5.96852376e-01 -7.18998321e-01 
 1.14815362e+09 -6.07936745e-01 -7.23256649e-01 
 1.17489755e+09 -6.19004448e-01 -7.27510708e-01 
 1.20226443e+09 -6.30055477e-01 -7.31770057e-01 
 1.23026877e+09 -6.41090537e-01 -7.36044404e-01 
 1.25892541e+09 -6.52111064e-01 -7.40343555e-01 
 1.28824955e+09 -6.63119233e-01 -7.44677383e-01 
 1.31825674e+09 -6.74117962e-01 -7.49055778e-01 
 1.34896288e+09 -6.85110923e-01 -7.53488609e-01 
 1.38038426e+09 -6.96102541e-01 -7.57985681e-01 
 1.41253754e+09 -7.07097996e-01 -7.62556699e-01 
 1.44543977e+09 -7.18103224e-01 -7.67211226e-01 
 1.47910839e+09 -7.29124911e-01 -7.71958645e-01 
 1.51356125e+09 -7.40170495e-01 -7.76808123e-01 
 1.54881662e+09 -7.51248157e-01 -7.81768575e-01 
 1.58489319e+09 -7.62366817e-01 -7.86848629e-01 
 1.62181010e+09 -7.73536130e-01 -7.92056590e-01 
 1.65958691e+09 -7.84766475e-01 -7.97400412e-01 
 1.69824365e+09 -7.96068953e-01 -8.02887658e-01 
 1.73780083e+09 -8.07455376e-01 -8.08525477e-01 
 1.77827941e+09 -8.18938264e-01 -8.14320567e-01 
 1.81970086e+09 -8.30530833e-01 -8.20279147e-01 
 1.86208714e+09 -8.42246992e-01 -8.26406924e-01 
 1.90546072e+09 -8.54101335e-01 -8.32709069e-01 
 1.94984460e+09 -8.66109137e-01 -8.39190178e-01 
 1.99526231e+09 -8.78286345e-01 -8.45854249e-01 
 2.04173794e+09 -8.90649573e-01 -8.52704649e-01 
 2.08929613e+09 -9.03216102e-01 -8.59744078e-01 
 2.13796209e+09 -9.16003868e-01 -8.66974544e-01 
 2.18776162e+09 -9.29031464e-01 -8.74397322e-01 
 2.23872114e+09 -9.42318134e-01 -8.82012924e-01 
 2.29086765e+09 -9.55883766e-01 -8.89821061e-01 
 2.34422882e+09 -9.69748895e-01 -8.97820602e-01 
 2.39883292e+09 -9.83934694e-01 -9.06009540e-01 
 2.45470892e+09 -9.98462973e-01 -9.14384944e-01 
 2.51188643e+09 -1.01335617e+00 -9.22942916e-01 
 2.57039578e+09 -1.02863736e+00 -9.31678545e-01 
 2.63026799e+09 -1.04433022e+00 -9.40585854e-01 
