 time            v(vinp)         v(vout)        
 6.63200000e-09  7.50000000e-01  7.55614789e-01 
 6.65700000e-09  7.50000000e-01  7.55614789e-01 
 6.68200000e-09  7.50000000e-01  7.55614789e-01 
 6.70700000e-09  7.50000000e-01  7.55614789e-01 
 6.73200000e-09  7.50000000e-01  7.55614789e-01 
 6.75700000e-09  7.50000000e-01  7.55614789e-01 
 6.78200000e-09  7.50000000e-01  7.55614789e-01 
 6.80700000e-09  7.50000000e-01  7.55614789e-01 
 6.83200000e-09  7.50000000e-01  7.55614789e-01 
 6.85700000e-09  7.50000000e-01  7.55614789e-01 
 6.88200000e-09  7.50000000e-01  7.55614789e-01 
 6.90700000e-09  7.50000000e-01  7.55614789e-01 
 6.93200000e-09  7.50000000e-01  7.55614789e-01 
 6.95700000e-09  7.50000000e-01  7.55614789e-01 
 6.98200000e-09  7.50000000e-01  7.55614789e-01 
 7.00700000e-09  7.50000000e-01  7.55614789e-01 
 7.03200000e-09  7.50000000e-01  7.55614789e-01 
 7.05700000e-09  7.50000000e-01  7.55614789e-01 
 7.08200000e-09  7.50000000e-01  7.55614789e-01 
 7.10700000e-09  7.50000000e-01  7.55614789e-01 
 7.13200000e-09  7.50000000e-01  7.55614789e-01 
 7.15700000e-09  7.50000000e-01  7.55614789e-01 
 7.18200000e-09  7.50000000e-01  7.55614789e-01 
 7.20700000e-09  7.50000000e-01  7.55614789e-01 
 7.23200000e-09  7.50000000e-01  7.55614789e-01 
 7.25700000e-09  7.50000000e-01  7.55614789e-01 
 7.28200000e-09  7.50000000e-01  7.55614789e-01 
 7.30700000e-09  7.50000000e-01  7.55614789e-01 
 7.33200000e-09  7.50000000e-01  7.55614789e-01 
 7.35700000e-09  7.50000000e-01  7.55614789e-01 
 7.38200000e-09  7.50000000e-01  7.55614789e-01 
 7.40700000e-09  7.50000000e-01  7.55614789e-01 
 7.43200000e-09  7.50000000e-01  7.55614789e-01 
 7.45700000e-09  7.50000000e-01  7.55614789e-01 
 7.48200000e-09  7.50000000e-01  7.55614789e-01 
 7.50700000e-09  7.50000000e-01  7.55614789e-01 
 7.53200000e-09  7.50000000e-01  7.55614789e-01 
 7.55700000e-09  7.50000000e-01  7.55614789e-01 
 7.58200000e-09  7.50000000e-01  7.55614789e-01 
 7.60700000e-09  7.50000000e-01  7.55614789e-01 
 7.63200000e-09  7.50000000e-01  7.55614789e-01 
 7.65700000e-09  7.50000000e-01  7.55614789e-01 
 7.68200000e-09  7.50000000e-01  7.55614789e-01 
 7.70700000e-09  7.50000000e-01  7.55614789e-01 
 7.73200000e-09  7.50000000e-01  7.55614789e-01 
 7.75700000e-09  7.50000000e-01  7.55614789e-01 
 7.78200000e-09  7.50000000e-01  7.55614789e-01 
 7.80700000e-09  7.50000000e-01  7.55614789e-01 
 7.83200000e-09  7.50000000e-01  7.55614789e-01 
 7.85700000e-09  7.50000000e-01  7.55614789e-01 
 7.88200000e-09  7.50000000e-01  7.55614789e-01 
 7.90700000e-09  7.50000000e-01  7.55614789e-01 
 7.93200000e-09  7.50000000e-01  7.55614789e-01 
 7.95700000e-09  7.50000000e-01  7.55614789e-01 
 7.98200000e-09  7.50000000e-01  7.55614789e-01 
 8.00700000e-09  7.50000000e-01  7.55614789e-01 
 8.03200000e-09  7.50000000e-01  7.55614789e-01 
 8.05700000e-09  7.50000000e-01  7.55614789e-01 
 8.08200000e-09  7.50000000e-01  7.55614789e-01 
 8.10700000e-09  7.50000000e-01  7.55614789e-01 
 8.13200000e-09  7.50000000e-01  7.55614789e-01 
 8.15700000e-09  7.50000000e-01  7.55614789e-01 
 8.18200000e-09  7.50000000e-01  7.55614789e-01 
 8.20700000e-09  7.50000000e-01  7.55614789e-01 
 8.23200000e-09  7.50000000e-01  7.55614789e-01 
 8.25700000e-09  7.50000000e-01  7.55614789e-01 
 8.28200000e-09  7.50000000e-01  7.55614789e-01 
 8.30700000e-09  7.50000000e-01  7.55614789e-01 
 8.33200000e-09  7.50000000e-01  7.55614789e-01 
 8.35700000e-09  7.50000000e-01  7.55614789e-01 
 8.38200000e-09  7.50000000e-01  7.55614789e-01 
 8.40700000e-09  7.50000000e-01  7.55614789e-01 
 8.43200000e-09  7.50000000e-01  7.55614789e-01 
 8.45700000e-09  7.50000000e-01  7.55614789e-01 
 8.48200000e-09  7.50000000e-01  7.55614789e-01 
 8.50700000e-09  7.50000000e-01  7.55614789e-01 
 8.53200000e-09  7.50000000e-01  7.55614789e-01 
 8.55700000e-09  7.50000000e-01  7.55614789e-01 
 8.58200000e-09  7.50000000e-01  7.55614789e-01 
 8.60700000e-09  7.50000000e-01  7.55614789e-01 
 8.63200000e-09  7.50000000e-01  7.55614789e-01 
 8.65700000e-09  7.50000000e-01  7.55614789e-01 
 8.68200000e-09  7.50000000e-01  7.55614789e-01 
 8.70700000e-09  7.50000000e-01  7.55614789e-01 
 8.73200000e-09  7.50000000e-01  7.55614789e-01 
 8.75700000e-09  7.50000000e-01  7.55614789e-01 
 8.78200000e-09  7.50000000e-01  7.55614789e-01 
 8.80700000e-09  7.50000000e-01  7.55614789e-01 
 8.83200000e-09  7.50000000e-01  7.55614789e-01 
 8.85700000e-09  7.50000000e-01  7.55614789e-01 
 8.88200000e-09  7.50000000e-01  7.55614789e-01 
 8.90700000e-09  7.50000000e-01  7.55614789e-01 
 8.93200000e-09  7.50000000e-01  7.55614789e-01 
 8.95700000e-09  7.50000000e-01  7.55614789e-01 
 8.98200000e-09  7.50000000e-01  7.55614789e-01 
 9.00700000e-09  7.50000000e-01  7.55614789e-01 
 9.03200000e-09  7.50000000e-01  7.55614789e-01 
 9.05700000e-09  7.50000000e-01  7.55614789e-01 
 9.08200000e-09  7.50000000e-01  7.55614789e-01 
 9.10700000e-09  7.50000000e-01  7.55614789e-01 
 9.13200000e-09  7.50000000e-01  7.55614789e-01 
 9.15700000e-09  7.50000000e-01  7.55614789e-01 
 9.18200000e-09  7.50000000e-01  7.55614789e-01 
 9.20700000e-09  7.50000000e-01  7.55614789e-01 
 9.23200000e-09  7.50000000e-01  7.55614789e-01 
 9.25700000e-09  7.50000000e-01  7.55614789e-01 
 9.28200000e-09  7.50000000e-01  7.55614789e-01 
 9.30700000e-09  7.50000000e-01  7.55614789e-01 
 9.33200000e-09  7.50000000e-01  7.55614789e-01 
 9.35700000e-09  7.50000000e-01  7.55614789e-01 
 9.38200000e-09  7.50000000e-01  7.55614789e-01 
 9.40700000e-09  7.50000000e-01  7.55614789e-01 
 9.43200000e-09  7.50000000e-01  7.55614789e-01 
