 frequency       v(finalp,finaln) v(finalp,finaln)
 2.39883292e+08  4.81702972e+03 -1.05413504e+02 
 2.45470892e+08  4.81711856e+03 -1.12036285e+02 
 2.51188643e+08  4.81718202e+03 -1.18711764e+02 
 2.57039578e+08  4.81722048e+03 -1.25443806e+02 
 2.63026799e+08  4.81723424e+03 -1.32236274e+02 
 2.69153480e+08  4.81722355e+03 -1.39093037e+02 
 2.75422870e+08  4.81718857e+03 -1.46017970e+02 
 2.81838293e+08  4.81712943e+03 -1.53014961e+02 
 2.88403150e+08  4.81704615e+03 -1.60087910e+02 
 2.95120923e+08  4.81693871e+03 -1.67240731e+02 
 3.01995172e+08  4.81680704e+03 -1.74477362e+02 
 3.09029543e+08  4.81665100e+03 -1.81801761e+02 
 3.16227766e+08  4.81647038e+03 -1.89217911e+02 
 3.23593657e+08  4.81626493e+03 -1.96729824e+02 
 3.31131121e+08  4.81603432e+03 -2.04341542e+02 
 3.38844156e+08  4.81577820e+03 -2.12057139e+02 
 3.46736850e+08  4.81549612e+03 -2.19880725e+02 
 3.54813389e+08  4.81518760e+03 -2.27816449e+02 
 3.63078055e+08  4.81485209e+03 -2.35868500e+02 
 3.71535229e+08  4.81448900e+03 -2.44041108e+02 
 3.80189396e+08  4.81409766e+03 -2.52338551e+02 
 3.89045145e+08  4.81367736e+03 -2.60765151e+02 
 3.98107171e+08  4.81322731e+03 -2.69325281e+02 
 4.07380278e+08  4.81274668e+03 -2.78023367e+02 
 4.16869383e+08  4.81223456e+03 -2.86863886e+02 
 4.26579519e+08  4.81169001e+03 -2.95851374e+02 
 4.36515832e+08  4.81111199e+03 -3.04990422e+02 
 4.46683592e+08  4.81049941e+03 -3.14285683e+02 
 4.57088190e+08  4.80985111e+03 -3.23741871e+02 
 4.67735141e+08  4.80916588e+03 -3.33363766e+02 
 4.78630092e+08  4.80844242e+03 -3.43156212e+02 
 4.89778819e+08  4.80767936e+03 -3.53124122e+02 
 5.01187234e+08  4.80687526e+03 -3.63272480e+02 
 5.12861384e+08  4.80602861e+03 -3.73606340e+02 
 5.24807460e+08  4.80513782e+03 -3.84130832e+02 
 5.37031796e+08  4.80420121e+03 -3.94851161e+02 
 5.49540874e+08  4.80321703e+03 -4.05772611e+02 
 5.62341325e+08  4.80218344e+03 -4.16900543e+02 
 5.75439937e+08  4.80109851e+03 -4.28240402e+02 
 5.88843655e+08  4.79996022e+03 -4.39797717e+02 
 6.02559586e+08  4.79876646e+03 -4.51578101e+02 
 6.16595002e+08  4.79751501e+03 -4.63587255e+02 
 6.30957344e+08  4.79620356e+03 -4.75830970e+02 
 6.45654229e+08  4.79482970e+03 -4.88315126e+02 
 6.60693448e+08  4.79339091e+03 -5.01045698e+02 
 6.76082975e+08  4.79188454e+03 -5.14028756e+02 
 6.91830971e+08  4.79030784e+03 -5.27270466e+02 
 7.07945784e+08  4.78865795e+03 -5.40777093e+02 
 7.24435960e+08  4.78693185e+03 -5.54555001e+02 
 7.41310241e+08  4.78512644e+03 -5.68610658e+02 
 7.58577575e+08  4.78323843e+03 -5.82950637e+02 
 7.76247117e+08  4.78126444e+03 -5.97581615e+02 
 7.94328235e+08  4.77920092e+03 -6.12510376e+02 
 8.12830516e+08  4.77704415e+03 -6.27743817e+02 
 8.31763771e+08  4.77479030e+03 -6.43288942e+02 
 8.51138038e+08  4.77243534e+03 -6.59152871e+02 
 8.70963590e+08  4.76997508e+03 -6.75342837e+02 
 8.91250938e+08  4.76740515e+03 -6.91866190e+02 
 9.12010839e+08  4.76472101e+03 -7.08730395e+02 
 9.33254301e+08  4.76191791e+03 -7.25943039e+02 
 9.54992586e+08  4.75899091e+03 -7.43511829e+02 
 9.77237221e+08  4.75593485e+03 -7.61444591e+02 
 1.00000000e+09  4.75274438e+03 -7.79749277e+02 
 1.02329299e+09  4.74941390e+03 -7.98433961e+02 
 1.04712855e+09  4.74593757e+03 -8.17506841e+02 
 1.07151931e+09  4.74230932e+03 -8.36976242e+02 
 1.09647820e+09  4.73852283e+03 -8.56850615e+02 
 1.12201845e+09  4.73457150e+03 -8.77138537e+02 
 1.14815362e+09  4.73044844e+03 -8.97848711e+02 
 1.17489755e+09  4.72614650e+03 -9.18989967e+02 
 1.20226443e+09  4.72165820e+03 -9.40571264e+02 
 1.23026877e+09  4.71697576e+03 -9.62601683e+02 
 1.25892541e+09  4.71209107e+03 -9.85090433e+02 
 1.28824955e+09  4.70699568e+03 -1.00804685e+03 
 1.31825674e+09  4.70168077e+03 -1.03148038e+03 
 1.34896288e+09  4.69613716e+03 -1.05540061e+03 
 1.38038426e+09  4.69035527e+03 -1.07981723e+03 
 1.41253754e+09  4.68432512e+03 -1.10474005e+03 
 1.44543977e+09  4.67803633e+03 -1.13017901e+03 
 1.47910839e+09  4.67147805e+03 -1.15614414e+03 
 1.51356125e+09  4.66463899e+03 -1.18264559e+03 
 1.54881662e+09  4.65750737e+03 -1.20969361e+03 
 1.58489319e+09  4.65007093e+03 -1.23729854e+03 
 1.62181010e+09  4.64231688e+03 -1.26547083e+03 
 1.65958691e+09  4.63423191e+03 -1.29422100e+03 
 1.69824365e+09  4.62580214e+03 -1.32355968e+03 
 1.73780083e+09  4.61701310e+03 -1.35349755e+03 
 1.77827941e+09  4.60784972e+03 -1.38404536e+03 
 1.81970086e+09  4.59829632e+03 -1.41521394e+03 
 1.86208714e+09  4.58833653e+03 -1.44701416e+03 
 1.90546072e+09  4.57795331e+03 -1.47945692e+03 
 1.94984460e+09  4.56712893e+03 -1.51255318e+03 
 1.99526231e+09  4.55584491e+03 -1.54631391e+03 
 2.04173794e+09  4.54408198e+03 -1.58075009e+03 
 2.08929613e+09  4.53182012e+03 -1.61587271e+03 
 2.13796209e+09  4.51903842e+03 -1.65169274e+03 
 2.18776162e+09  4.50571516e+03 -1.68822112e+03 
 2.23872114e+09  4.49182769e+03 -1.72546877e+03 
 2.29086765e+09  4.47735243e+03 -1.76344654e+03 
 2.34422882e+09  4.46226483e+03 -1.80216521e+03 
 2.39883292e+09  4.44653932e+03 -1.84163549e+03 
 2.45470892e+09  4.43014927e+03 -1.88186795e+03 
 2.51188643e+09  4.41306696e+03 -1.92287309e+03 
 2.57039578e+09  4.39526350e+03 -1.96466121e+03 
 2.63026799e+09  4.37670883e+03 -2.00724248e+03 
 2.69153480e+09  4.35737160e+03 -2.05062686e+03 
 2.75422870e+09  4.33721919e+03 -2.09482411e+03 
 2.81838293e+09  4.31621757e+03 -2.13984374e+03 
 2.88403150e+09  4.29433131e+03 -2.18569500e+03 
 2.95120923e+09  4.27152349e+03 -2.23238682e+03 
 3.01995172e+09  4.24775558e+03 -2.27992781e+03 
 3.09029543e+09  4.22298744e+03 -2.32832620e+03 
 3.16227766e+09  4.19717719e+03 -2.37758981e+03 
 3.23593657e+09  4.17028115e+03 -2.42772601e+03 
 3.31131121e+09  4.14225371e+03 -2.47874165e+03 
 3.38844156e+09  4.11304728e+03 -2.53064302e+03 
 3.46736850e+09  4.08261216e+03 -2.58343581e+03 
 3.54813389e+09  4.05089642e+03 -2.63712502e+03 
 3.63078055e+09  4.01784579e+03 -2.69171489e+03 
 3.71535229e+09  3.98340355e+03 -2.74720883e+03 
 3.80189396e+09  3.94751035e+03 -2.80360933e+03 
 3.89045145e+09  3.91010412e+03 -2.86091785e+03 
 3.98107171e+09  3.87111987e+03 -2.91913473e+03 
 4.07380278e+09  3.83048954e+03 -2.97825906e+03 
 4.16869383e+09  3.78814185e+03 -3.03828854e+03 
 4.26579519e+09  3.74400207e+03 -3.09921933e+03 
 4.36515832e+09  3.69799187e+03 -3.16104587e+03 
 4.46683592e+09  3.65002906e+03 -3.22376073e+03 
 4.57088190e+09  3.60002743e+03 -3.28735437e+03 
 4.67735141e+09  3.54789645e+03 -3.35181490e+03 
 4.78630092e+09  3.49354109e+03 -3.41712784e+03 
 4.89778819e+09  3.43686152e+03 -3.48327584e+03 
 5.01187234e+09  3.37775286e+03 -3.55023830e+03 
 5.12861384e+09  3.31610486e+03 -3.61799110e+03 
 5.24807460e+09  3.25180166e+03 -3.68650612e+03 
 5.37031796e+09  3.18472145e+03 -3.75575085e+03 
 5.49540874e+09  3.11473612e+03 -3.82568787e+03 
 5.62341325e+09  3.04171100e+03 -3.89627429e+03 
 5.75439937e+09  2.96550442e+03 -3.96746117e+03 
 5.88843655e+09  2.88596747e+03 -4.03919283e+03 
 6.02559586e+09  2.80294354e+03 -4.11140609e+03 
 6.16595002e+09  2.71626802e+03 -4.18402942e+03 
 6.30957344e+09  2.62576789e+03 -4.25698205e+03 
 6.45654229e+09  2.53126141e+03 -4.33017289e+03 
 6.60693448e+09  2.43255769e+03 -4.40349941e+03 
 6.76082975e+09  2.32945641e+03 -4.47684637e+03 
 6.91830971e+09  2.22174745e+03 -4.55008438e+03 
 7.07945784e+09  2.10921060e+03 -4.62306834e+03 
 7.24435960e+09  1.99161530e+03 -4.69563573e+03 
 7.41310241e+09  1.86872042e+03 -4.76760459e+03 
 7.58577575e+09  1.74027411e+03 -4.83877147e+03 
 7.76247117e+09  1.60601374e+03 -4.90890897e+03 
 7.94328235e+09  1.46566594e+03 -4.97776310e+03 
 8.12830516e+09  1.31894677e+03 -5.04505040e+03 
 8.31763771e+09  1.16556205e+03 -5.11045461e+03 
 8.51138038e+09  1.00520795e+03 -5.17362309e+03 
 8.70963590e+09  8.37571744e+02 -5.23416280e+03 
 8.91250938e+09  6.62332935e+02 -5.29163593e+03 
 9.12010839e+09  4.79164766e+02 -5.34555489e+03 
 9.33254301e+09  2.87736168e+02 -5.39537701e+03 
 9.54992586e+09  8.77142826e+01 -5.44049850e+03 
 9.77237221e+09 -1.21232323e+02 -5.48024791e+03 
 1.00000000e+10 -3.39429619e+02 -5.51387889e+03 
 1.02329299e+10 -5.67193066e+02 -5.54056234e+03 
 1.04712855e+10 -8.04821360e+02 -5.55937774e+03 
 1.07151931e+10 -1.05258872e+03 -5.56930385e+03 
 1.09647820e+10 -1.31073541e+03 -5.56920861e+03 
 1.12201845e+10 -1.57945617e+03 -5.55783830e+03 
 1.14815362e+10 -1.85888611e+03 -5.53380617e+03 
 1.17489755e+10 -2.14908361e+03 -5.49558037e+03 
 1.20226443e+10 -2.45000957e+03 -5.44147165e+03 
 1.23026877e+10 -2.76150243e+03 -5.36962099e+03 
 1.25892541e+10 -3.08324814e+03 -5.27798757e+03 
 1.28824955e+10 -3.41474412e+03 -5.16433773e+03 
 1.31825674e+10 -3.75525626e+03 -5.02623584e+03 
 1.34896288e+10 -4.10376779e+03 -4.86103816e+03 
 1.38038426e+10 -4.45891886e+03 -4.66589132e+03 
 1.41253754e+10 -4.81893539e+03 -4.43773767e+03 
 1.44543977e+10 -5.18154614e+03 -4.17333019e+03 
 1.47910839e+10 -5.54388683e+03 -3.86926083e+03 
 1.51356125e+10 -5.90239048e+03 -3.52200700e+03 
 1.54881662e+10 -6.25266415e+03 -3.12800240e+03 
 1.58489319e+10 -6.58935297e+03 -2.68373984e+03 
 1.62181010e+10 -6.90599456e+03 -2.18591539e+03 
 1.65958691e+10 -7.19486924e+03 -1.63162524e+03 
 1.69824365e+10 -7.44685599e+03 -1.01862793e+03 
 1.73780083e+10 -7.65130909e+03 -3.45686123e+02 
 1.77827941e+10 -7.79597832e+03  3.86998306e+02 
 1.81970086e+10 -7.86700542e+03  1.17724431e+03 
 1.86208714e+10 -7.84904120e+03  2.02024149e+03 
 1.90546072e+10 -7.72554152e+03  2.90779626e+03 
 1.94984460e+10 -7.47931373e+03  3.82750137e+03 
 1.99526231e+10 -7.09339458e+03  4.76188701e+03 
 2.04173794e+10 -6.55234100e+03  5.68765601e+03 
 2.08929613e+10 -5.84399626e+03  6.57516247e+03 
 2.13796209e+10 -4.96174546e+03  7.38835700e+03 
 2.18776162e+10 -3.90718218e+03  8.08547958e+03 
 2.23872114e+10 -2.69296610e+03  8.62080712e+03 
 2.29086765e+10 -1.34546212e+03  8.94772137e+03 
 2.34422882e+10  9.34518832e+01  9.02321029e+03 
 2.39883292e+10  1.56617717e+03  8.81362092e+03 
 2.45470892e+10  3.00155957e+03  8.30105263e+03 
 2.51188643e+10  4.31995035e+03  7.48929562e+03 
 2.57039578e+10  5.44111446e+03  6.40785099e+03 
 2.63026799e+10  6.29411135e+03  5.11253707e+03 
 2.69153480e+10  6.82741949e+03  3.68167596e+03 
 2.75422870e+10  7.01705446e+03  2.20786550e+03 
 2.81838293e+10  6.87057622e+03  7.86611305e+02 
 2.88403150e+10  6.42579371e+03 -4.95860320e+02 
 2.95120923e+10  5.74438971e+03 -1.57293660e+03 
 3.01995172e+10  4.90206713e+03 -2.40396628e+03 
 3.09029543e+10  3.97761265e+03 -2.97569740e+03 
 3.16227766e+10  3.04323148e+03 -3.29924733e+03 
 3.23593657e+10  2.15776515e+03 -3.40405076e+03 
 3.31131121e+10  1.36336608e+03 -3.33059823e+03 
 3.38844156e+10  6.85287412e+02 -3.12355397e+03 
 3.46736850e+10  1.33901978e+02 -2.82627845e+03 
 3.54813389e+10 -2.92078407e+02 -2.47716203e+03 
 3.63078055e+10 -6.02065918e+02 -2.10769460e+03 
 3.71535229e+10 -8.10346327e+02 -1.74192146e+03 
 3.80189396e+10 -9.33434451e+02 -1.39684553e+03 
 3.89045145e+10 -9.88131482e+02 -1.08336909e+03 
 3.98107171e+10 -9.90238615e+02 -8.07458545e+02 
 4.07380278e+10 -9.53811283e+02 -5.71319249e+02 
 4.16869383e+10 -8.90818486e+02 -3.74456602e+02 
 4.26579519e+10 -8.11081086e+02 -2.14566408e+02 
 4.36515832e+10 -7.22385558e+02 -8.82411432e+01 
 4.46683592e+10 -6.30695379e+02  8.49600809e+00 
 4.57088190e+10 -5.40405634e+02  7.98053911e+01 
 4.67735141e+10 -4.54605353e+02  1.29765701e+02 
 4.78630092e+10 -3.75326257e+02  1.62202672e+02 
