 time            v(vinp)         v(vout)        
 1.59262075e-07  1.25000000e+00  1.23773370e+00 
 1.59287075e-07  1.25000000e+00  1.23774443e+00 
 1.59312075e-07  1.25000000e+00  1.23775503e+00 
 1.59337075e-07  1.25000000e+00  1.23776550e+00 
 1.59362075e-07  1.25000000e+00  1.23777584e+00 
 1.59387075e-07  1.25000000e+00  1.23778605e+00 
 1.59412075e-07  1.25000000e+00  1.23779615e+00 
 1.59437075e-07  1.25000000e+00  1.23780612e+00 
 1.59462075e-07  1.25000000e+00  1.23781597e+00 
 1.59487075e-07  1.25000000e+00  1.23782570e+00 
 1.59512075e-07  1.25000000e+00  1.23783531e+00 
 1.59537075e-07  1.25000000e+00  1.23784481e+00 
 1.59562075e-07  1.25000000e+00  1.23785419e+00 
 1.59587075e-07  1.25000000e+00  1.23786346e+00 
 1.59612075e-07  1.25000000e+00  1.23787262e+00 
 1.59637075e-07  1.25000000e+00  1.23788168e+00 
 1.59662075e-07  1.25000000e+00  1.23789062e+00 
 1.59687075e-07  1.25000000e+00  1.23789946e+00 
 1.59712075e-07  1.25000000e+00  1.23790819e+00 
 1.59737075e-07  1.25000000e+00  1.23791683e+00 
 1.59762075e-07  1.25000000e+00  1.23792536e+00 
 1.59787075e-07  1.25000000e+00  1.23793379e+00 
 1.59812075e-07  1.25000000e+00  1.23794213e+00 
 1.59837075e-07  1.25000000e+00  1.23795037e+00 
 1.59862075e-07  1.25000000e+00  1.23795852e+00 
 1.59887075e-07  1.25000000e+00  1.23796658e+00 
 1.59912075e-07  1.25000000e+00  1.23797454e+00 
 1.59937075e-07  1.25000000e+00  1.23798242e+00 
 1.59962075e-07  1.25000000e+00  1.23799021e+00 
 1.59987075e-07  1.25000000e+00  1.23799792e+00 
 1.60012075e-07  1.25000000e+00  1.23800554e+00 
 1.60037075e-07  1.25000000e+00  1.23801308e+00 
 1.60062075e-07  1.25000000e+00  1.23802055e+00 
 1.60087075e-07  1.25000000e+00  1.23802793e+00 
 1.60112075e-07  1.25000000e+00  1.23803524e+00 
 1.60137075e-07  1.25000000e+00  1.23804247e+00 
 1.60162075e-07  1.25000000e+00  1.23804963e+00 
 1.60187075e-07  1.25000000e+00  1.23805671e+00 
 1.60212075e-07  1.25000000e+00  1.23806373e+00 
 1.60237075e-07  1.25000000e+00  1.23807068e+00 
 1.60262075e-07  1.25000000e+00  1.23807756e+00 
 1.60287075e-07  1.25000000e+00  1.23808437e+00 
 1.60312075e-07  1.25000000e+00  1.23809112e+00 
 1.60337075e-07  1.25000000e+00  1.23809781e+00 
 1.60362075e-07  1.25000000e+00  1.23810444e+00 
 1.60387075e-07  1.25000000e+00  1.23811100e+00 
 1.60412075e-07  1.25000000e+00  1.23811751e+00 
 1.60437075e-07  1.25000000e+00  1.23812396e+00 
 1.60462075e-07  1.25000000e+00  1.23813035e+00 
 1.60487075e-07  1.25000000e+00  1.23813669e+00 
 1.60512075e-07  1.25000000e+00  1.23814297e+00 
 1.60537075e-07  1.25000000e+00  1.23814921e+00 
 1.60562075e-07  1.25000000e+00  1.23815539e+00 
 1.60587075e-07  1.25000000e+00  1.23816152e+00 
 1.60612075e-07  1.25000000e+00  1.23816760e+00 
 1.60637075e-07  1.25000000e+00  1.23817363e+00 
 1.60662075e-07  1.25000000e+00  1.23817962e+00 
 1.60687075e-07  1.25000000e+00  1.23818556e+00 
 1.60712075e-07  1.25000000e+00  1.23819145e+00 
 1.60737075e-07  1.25000000e+00  1.23819731e+00 
 1.60762075e-07  1.25000000e+00  1.23820312e+00 
 1.60787075e-07  1.25000000e+00  1.23820888e+00 
 1.60812075e-07  1.25000000e+00  1.23821461e+00 
 1.60837075e-07  1.25000000e+00  1.23822030e+00 
 1.60862075e-07  1.25000000e+00  1.23822594e+00 
 1.60887075e-07  1.25000000e+00  1.23823155e+00 
 1.60912075e-07  1.25000000e+00  1.23823712e+00 
 1.60937075e-07  1.25000000e+00  1.23824266e+00 
 1.60962075e-07  1.25000000e+00  1.23824815e+00 
 1.60987075e-07  1.25000000e+00  1.23825362e+00 
 1.61012075e-07  1.25000000e+00  1.23825904e+00 
 1.61037075e-07  1.25000000e+00  1.23826444e+00 
 1.61062075e-07  1.25000000e+00  1.23826980e+00 
 1.61087075e-07  1.25000000e+00  1.23827513e+00 
 1.61112075e-07  1.25000000e+00  1.23828042e+00 
 1.61137075e-07  1.25000000e+00  1.23828569e+00 
 1.61162075e-07  1.25000000e+00  1.23829092e+00 
 1.61187075e-07  1.25000000e+00  1.23829612e+00 
 1.61212075e-07  1.25000000e+00  1.23830130e+00 
 1.61237075e-07  1.25000000e+00  1.23830644e+00 
 1.61262075e-07  1.25000000e+00  1.23831156e+00 
 1.61287075e-07  1.25000000e+00  1.23831665e+00 
 1.61312075e-07  1.25000000e+00  1.23832171e+00 
 1.61337075e-07  1.25000000e+00  1.23832674e+00 
 1.61362075e-07  1.25000000e+00  1.23833174e+00 
 1.61387075e-07  1.25000000e+00  1.23833672e+00 
 1.61412075e-07  1.25000000e+00  1.23834168e+00 
 1.61437075e-07  1.25000000e+00  1.23834661e+00 
 1.61462075e-07  1.25000000e+00  1.23835151e+00 
 1.61487075e-07  1.25000000e+00  1.23835639e+00 
 1.61512075e-07  1.25000000e+00  1.23836124e+00 
 1.61537075e-07  1.25000000e+00  1.23836607e+00 
 1.61562075e-07  1.25000000e+00  1.23837088e+00 
 1.61587075e-07  1.25000000e+00  1.23837567e+00 
 1.61612075e-07  1.25000000e+00  1.23838043e+00 
 1.61637075e-07  1.25000000e+00  1.23838517e+00 
 1.61662075e-07  1.25000000e+00  1.23838988e+00 
 1.61687075e-07  1.25000000e+00  1.23839458e+00 
 1.61712075e-07  1.25000000e+00  1.23839925e+00 
 1.61737075e-07  1.25000000e+00  1.23840390e+00 
 1.61762075e-07  1.25000000e+00  1.23840853e+00 
 1.61787075e-07  1.25000000e+00  1.23841314e+00 
 1.61812075e-07  1.25000000e+00  1.23841774e+00 
 1.61837075e-07  1.25000000e+00  1.23842231e+00 
 1.61862075e-07  1.25000000e+00  1.23842686e+00 
 1.61887075e-07  1.25000000e+00  1.23843139e+00 
 1.61912075e-07  1.25000000e+00  1.23843590e+00 
